NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_003M,,B01001_003M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_003MA,,B01001_003MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_004E,,B01001_004E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_004EA,,B01001_004EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_004M,,B01001_004M
