NAME,DP05_0001E,state,place,Year,Topic,DP05_0018E,B01001_001E,B01001_001EA,B01001_001M,B01001_001MA,B01001_002E,B01001_002EA,B01001_002M,B01001_002MA,B01001_003E,B01001_003EA,B01001_003M,B01001_003MA,B01001_004E,B01001_004EA,B01001_004M,B01001_004MA,B01001_005E,B01001_005EA,B01001_005M,B01001_005MA,B01001_006E,B01001_006EA,B01001_006M,B01001_006MA,B01001_007E,B01001_007EA,B01001_007M,B01001_007MA,B01001_008E,B01001_008EA,B01001_008M,B01001_008MA,B01001_009E,B01001_009EA,B01001_009M,B01001_009MA,B01001_010E,B01001_010EA,B01001_010M,B01001_010MA,B01001_011E,B01001_011EA,B01001_011M,B01001_011MA,B01001_012E,B01001_012EA,B01001_012M,B01001_012MA,B01001_013E,B01001_013EA,B01001_013M,B01001_013MA,B01001_014E,B01001_014EA,B01001_014M,B01001_014MA,B01001_015E,B01001_015EA,B01001_015M,B01001_015MA,B01001_016E,B01001_016EA,B01001_016M,B01001_016MA,B01001_017E,B01001_017EA,B01001_017M,B01001_017MA,B01001_018E,B01001_018EA,B01001_018M,B01001_018MA,B01001_019E,B01001_019EA,B01001_019M,B01001_019MA,B01001_020E,B01001_020EA,B01001_020M,B01001_020MA,B01001_021E,B01001_021EA,B01001_021M,B01001_021MA,B01001_022E,B01001_022EA,B01001_022M,B01001_022MA,B01001_023E,B01001_023EA,B01001_023M,B01001_023MA,B01001_024E,B01001_024EA,B01001_024M,B01001_024MA,B01001_025E,B01001_025EA,B01001_025M,B01001_025MA,B01001_026E,B01001_026EA,B01001_026M,B01001_026MA,B01001_027E,B01001_027EA,B01001_027M,B01001_027MA,B01001_028E,B01001_028EA,B01001_028M,B01001_028MA,B01001_029E,B01001_029EA,B01001_029M,B01001_029MA,B01001_030E,B01001_030EA,B01001_030M,B01001_030MA,B01001_031E,B01001_031EA,B01001_031M,B01001_031MA,B01001_032E,B01001_032EA,B01001_032M,B01001_032MA,B01001_033E,B01001_033EA,B01001_033M,B01001_033MA,B01001_034E,B01001_034EA,B01001_034M,B01001_034MA,B01001_035E,B01001_035EA,B01001_035M,B01001_035MA,B01001_036E,B01001_036EA,B01001_036M,B01001_036MA,B01001_037E,B01001_037EA,B01001_037M,B01001_037MA,B01001_038E,B01001_038EA,B01001_038M,B01001_038MA,B01001_039E,B01001_039EA,B01001_039M,B01001_039MA,B01001_040E,B01001_040EA,B01001_040M,B01001_040MA,B01001_041E,B01001_041EA,B01001_041M,B01001_041MA,B01001_042E,B01001_042EA,B01001_042M,B01001_042MA,B01001_043E,B01001_043EA,B01001_043M,B01001_043MA,B01001_044E,B01001_044EA,B01001_044M,B01001_044MA,B01001_045E,B01001_045EA,B01001_045M,B01001_045MA,B01001_046E,B01001_046EA,B01001_046M,B01001_046MA,B01001_047E,B01001_047EA,B01001_047M,B01001_047MA,B01001_048E,B01001_048EA,B01001_048M,B01001_048MA,B01001_049E,B01001_049EA,B01001_049M,B01001_049MA,GEO_ID,B02001_001E,B02001_001EA,B02001_001M,B02001_001MA,B02001_002E,B02001_002EA,B02001_002M,B02001_002MA,B02001_003E,B02001_003EA,B02001_003M,B02001_003MA,B02001_004E,B02001_004EA,B02001_004M,B02001_004MA,B02001_005E,B02001_005EA,B02001_005M,B02001_005MA,B02001_006E,B02001_006EA,B02001_006M,B02001_006MA,B02001_007E,B02001_007EA,B02001_007M,B02001_007MA,B02001_008E,B02001_008EA,B02001_008M,B02001_008MA,B02001_009E,B02001_009EA,B02001_009M,B02001_009MA,B02001_010E,B02001_010EA,B02001_010M,B02001_010MA,B03002_001E,B03002_001EA,B03002_001M,B03002_001MA,B03002_002E,B03002_002EA,B03002_002M,B03002_002MA,B03002_003E,B03002_003EA,B03002_003M,B03002_003MA,B03002_004E,B03002_004EA,B03002_004M,B03002_004MA,B03002_005E,B03002_005EA,B03002_005M,B03002_005MA,B03002_006E,B03002_006EA,B03002_006M,B03002_006MA,B03002_007E,B03002_007EA,B03002_007M,B03002_007MA,B03002_008E,B03002_008EA,B03002_008M,B03002_008MA,B03002_009E,B03002_009EA,B03002_009M,B03002_009MA,B03002_010E,B03002_010EA,B03002_010M,B03002_010MA,B03002_011E,B03002_011EA,B03002_011M,B03002_011MA,B03002_012E,B03002_012EA,B03002_012M,B03002_012MA,B03002_013E,B03002_013EA,B03002_013M,B03002_013MA,B03002_014E,B03002_014EA,B03002_014M,B03002_014MA,B03002_015E,B03002_015EA,B03002_015M,B03002_015MA,B03002_016E,B03002_016EA,B03002_016M,B03002_016MA,B03002_017E,B03002_017EA,B03002_017M,B03002_017MA,B03002_018E,B03002_018EA,B03002_018M,B03002_018MA,B03002_019E,B03002_019EA,B03002_019M,B03002_019MA,B03002_020E,B03002_020EA,B03002_020M,B03002_020MA,B03002_021E,B03002_021EA,B03002_021M,B03002_021MA,Geo
"Long Beach city, California",,06,43000,2022,Median Age,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2023,Median Age,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2018,Sex by Age (full),,468883,,77,,231158,,2066,,15397,,950,,15287,,816,,15322,,723,,8635,,620,,6240,,453,,3882,,456,,4167,,458,,10735,,636,,20777,,1177,,19169,,1060,,15975,,869,,15634,,804,,16323,,812,,15098,,810,,13056,,668,,5246,,403,,6682,,483,,4228,,346,,5486,,459,,5892,,509,,3277,,329,,2209,,273,,2441,,267,,237725,,2052,,16225,,972,,13548,,732,,13660,,742,,9154,,616,,6446,,553,,3963,,428,,3311,,434,,11124,,698,,21300,,1128,,19128,,764,,16413,,747,,16252,,771,,15810,,771,,16158,,740,,13903,,667,,5879,,412,,7498,,526,,3885,,398,,5758,,449,,6536,,547,,4451,,387,,3306,,381,,4017,,380,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2019,Sex by Age (full),,466776,,97,,230878,,1916,,14996,,869,,14922,,846,,15648,,786,,8319,,724,,6292,,496,,3442,,402,,3896,,451,,10420,,694,,20971,,1077,,19742,,952,,16010,,802,,15378,,920,,15456,,860,,15089,,805,,13600,,688,,5226,,472,,7034,,472,,4370,,462,,5525,,433,,6275,,406,,3545,,410,,2049,,264,,2673,,326,,235898,,1910,,15442,,825,,13450,,826,,13177,,816,,8482,,605,,6085,,602,,4013,,488,,3358,,422,,10757,,842,,21307,,900,,19496,,1146,,16722,,737,,15673,,811,,15708,,719,,15832,,821,,14104,,674,,5794,,503,,7624,,503,,4096,,399,,5740,,379,,6862,,490,,4824,,473,,2994,,303,,4358,,432,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2020,Sex by Age (full),,462081,,92,,227632,,1930,,13754,,950,,14012,,865,,15737,,1026,,7883,,635,,6291,,539,,3084,,430,,4004,,474,,9812,,849,,20974,,1137,,19571,,881,,16347,,1045,,15118,,994,,15457,,1068,,14811,,910,,13701,,872,,5057,,587,,7738,,705,,4120,,467,,5175,,572,,6680,,519,,3511,,390,,1879,,271,,2916,,396,,234449,,1928,,14953,,955,,12735,,885,,13329,,848,,8007,,678,,6643,,639,,3656,,479,,3323,,419,,10349,,801,,21795,,1127,,18738,,949,,17279,,857,,15199,,900,,15025,,866,,15085,,1116,,14400,,946,,5993,,513,,8060,,693,,4344,,677,,6286,,587,,7294,,573,,4642,,441,,2806,,418,,4508,,480,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2021,Sex by Age (full),,466565,,87,,229759,,2030,,13121,,986,,14076,,992,,16145,,901,,8188,,638,,6410,,611,,2739,,453,,3658,,525,,9252,,742,,19579,,1269,,20584,,1269,,16682,,1146,,15838,,1168,,14844,,1006,,15301,,981,,15039,,903,,5276,,544,,8282,,757,,3957,,493,,5385,,576,,7104,,524,,3631,,421,,2022,,275,,2646,,349,,236806,,2037,,14156,,1048,,12357,,932,,13530,,939,,8080,,797,,6556,,588,,3384,,422,,3333,,413,,10721,,836,,21891,,1075,,19121,,977,,17413,,1075,,15549,,835,,15066,,913,,15358,,897,,14937,,992,,5990,,597,,8107,,671,,4460,,560,,6270,,491,,8091,,633,,5187,,512,,2823,,400,,4426,,549,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2022,Sex by Age (full),,462293,,87,,228674,,2208,,12439,,1001,,13178,,983,,15891,,985,,8538,,823,,6329,,580,,2562,,363,,3931,,572,,10007,,779,,18755,,1170,,20679,,1178,,17717,,913,,15134,,1074,,14798,,1011,,15195,,977,,15051,,979,,5350,,524,,8056,,737,,4052,,491,,5126,,475,,7412,,521,,3874,,399,,2128,,312,,2472,,301,,233619,,2213,,12644,,980,,11746,,924,,12964,,842,,8323,,660,,6941,,726,,3335,,467,,3285,,382,,10882,,867,,21201,,1087,,19275,,1124,,17419,,968,,14450,,867,,15248,,868,,14855,,855,,14681,,1008,,5738,,519,,7849,,822,,4644,,523,,6585,,591,,8437,,728,,5552,,535,,2950,,395,,4615,,497,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2023,Sex by Age (full),,458491,,71,,226934,,2219,,12084,,939,,12397,,791,,15267,,996,,8943,,765,,6162,,624,,2715,,464,,3289,,492,,9280,,747,,17638,,1066,,21218,,1276,,17905,,989,,15071,,1080,,14337,,1025,,15056,,965,,15407,,950,,5581,,572,,8071,,730,,3982,,459,,5247,,543,,7780,,652,,4294,,469,,2678,,323,,2532,,385,,231557,,2216,,11755,,1061,,11559,,984,,12497,,983,,8704,,714,,6601,,643,,2864,,446,,3432,,633,,10202,,704,,19810,,1116,,19295,,1073,,17749,,1013,,14484,,864,,14807,,995,,15057,,937,,14880,,882,,5745,,547,,7925,,615,,4695,,529,,6944,,613,,9167,,734,,6032,,444,,3186,,392,,4167,,465,,1600000US0643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2018,Race (full),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000US0643000,468883,,77,,243804,,3358,,60443,,2704,,4221,,782,,61622,,1860,,3782,,741,,73197,,2925,,21814,,1435,,5003,,609,,16811,,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
"Long Beach city, California",,06,43000,2019,Race (full),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000US0643000,466776,,97,,239110,,4063,,59126,,1983,,4916,,1036,,61066,,2007,,3649,,758,,77137,,3936,,21772,,1433,,5452,,806,,16320,,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City
