NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_001E,462081.0,B01001_001E
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_001E,466565.0,B01001_001E
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_001E,462293.0,B01001_001E
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_001E,458491.0,B01001_001E
"Long Beach city, California",06,43000,2018,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2019,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2020,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2021,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2022,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2023,Race (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2018,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2019,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2020,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2021,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2022,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2023,Hispanic/Latino Origin (full),City,B01001_001E,,B01001_001E
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2018,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2019,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2020,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2021,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2022,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2023,Median Age,City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2018,Sex by Age (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2019,Sex by Age (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2020,Sex by Age (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2021,Sex by Age (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2022,Sex by Age (full),City,B01001_001EA,,B01001_001EA
"Long Beach city, California",06,43000,2023,Sex by Age (full),City,B01001_001EA,,B01001_001EA
