NAME,state,place,Year,Topic,Geo,Variable,Value,Display
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_003M,,B01001_003M
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_003MA,,B01001_003MA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_004E,,B01001_004E
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_004EA,,B01001_004EA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_004M,,B01001_004M
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_004MA,,B01001_004MA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_005E,,B01001_005E
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2019,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2020,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2021,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2022,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2023,Total Population,City,B01001_005EA,,B01001_005EA
"Long Beach city, California",06,43000,2018,Total Population,City,B01001_005M,,B01001_005M
